step,_step,_runtime,train/loss,train/grad_norm,train/lr,train/loss_smooth,_timestamp,valid/action_l1,valid/action_l1_std,valid/is_best,eval_D/eval_batches,eval_D/std_action_l1,eval_D/mean_action_l1
1000.0,0,4.8633866,0.5008400000000001,5.32836,0.0001,0.4463440536214486,1781665475.032603,,,,,,
2000.0,1,4.8639862,0.457078431372549,3.954431372549019,0.0001,0.4340956510604242,1781665475.0331488,,,,,,
3000.0,2,4.8639862,0.42567346938775513,3.117734693877551,9.999999999999999e-05,0.42446206215819665,1781665475.0337481,,,,,,
4000.0,3,4.8646785999999995,0.40178431372549017,2.7899607843137257,0.0001,0.41609576173326474,1781665475.0337481,,,,,,
5000.0,4,4.8651955000000005,0.38510204081632654,2.7380204081632655,9.999999999999999e-05,0.3945051734979706,1781665475.0344408,,,,,,
6000.0,5,4.8651955000000005,0.3762941176470588,2.6811764705882353,0.0001,0.37845315268964724,1781665475.0344408,,,,,,
7000.0,6,4.8663181,0.36589795918367346,2.6210612244897957,9.999999999999999e-05,0.3656790716286515,1781665475.0349576,,,,,,
8000.0,7,4.866901,0.3497058823529412,2.5672549019607844,0.0001,0.3554212542159721,1781665475.0360801,,,,,,
9000.0,8,4.8675031,0.3447142857142857,2.849673469387755,9.999999999999999e-05,0.3458660607099983,1781665475.036663,,,,,,
10000.0,9,4.8680414,0.33625490196078434,2.2225490196078432,0.0001,0.3370368718916138,1781665475.037265,,,,,,
11000.0,10,4.8680414,0.3299795918367347,2.6210816326530613,9.999999999999999e-05,0.3286396844452067,1781665475.0378034,,,,,,
12000.0,11,4.868741,0.3182156862745098,2.1762941176470587,0.0001,0.3215388441090722,1781665475.0378034,,,,,,
13000.0,12,4.868741,0.31448979591836734,2.337795918367347,9.999999999999999e-05,0.31418470245240954,1781665475.038503,,,,,,
14000.0,13,4.868741,0.30711764705882355,2.2358039215686274,0.0001,0.307734293717487,1781665475.038503,,,,,,
15000.0,14,4.8693784,0.3,2.145612244897959,9.999999999999999e-05,0.30163356771279937,1781665475.038503,,,,,,
