step,_step,_runtime,train/loss,train/grad_norm,train/lr,train/loss_smooth,_timestamp,valid/action_l1,valid/action_l1_std,valid/is_best,eval_D/eval_batches,eval_D/std_action_l1,eval_D/mean_action_l1
1000.0,0,5.8168947,0.50676,5.25712,0.0001,0.45965308523409365,1781665496.9674473,,,,,,
2000.0,1,5.8174544,0.4666078431372549,3.903607843137255,0.0001,0.4504857334933973,1781665496.9679935,,,,,,
3000.0,2,5.8174544,0.43973469387755104,3.0426326530612244,9.999999999999999e-05,0.44304856876083765,1781665496.9685535,,,,,,
4000.0,3,5.8179914,0.4255098039215686,2.6192156862745093,0.0001,0.4365868198708055,1781665496.9685535,,,,,,
5000.0,4,5.8179914,0.4138163265306123,2.5190408163265303,9.999999999999999e-05,0.4202205453610016,1781665496.9690902,,,,,,
6000.0,5,5.8187247,0.40586274509803927,2.4411764705882355,0.0001,0.4089092208311897,1781665496.9690902,,,,,,
7000.0,6,5.8187247,0.3978163265306123,2.4205510204081633,9.999999999999999e-05,0.4008434802492426,1781665496.9698238,,,,,,
8000.0,7,5.81944,0.3921960784313726,2.376333333333333,0.0001,0.3939047619047619,1781665496.970539,,,,,,
9000.0,8,5.81944,0.38742857142857146,2.6124081632653064,9.999999999999999e-05,0.38789178528554286,1781665496.970539,,,,,,
10000.0,9,5.8201864,0.3832745098039216,2.1309607843137255,0.0001,0.38225541645229516,1781665496.970539,,,,,,
11000.0,10,5.8201864,0.37693877551020405,2.288591836734694,9.999999999999999e-05,0.37735728577145145,1781665496.9712856,,,,,,
12000.0,11,5.8208756,0.3717254901960784,2.3108823529411766,0.0001,0.3726383124678443,1781665496.9712856,,,,,,
13000.0,12,5.8208756,0.3664081632653061,2.189326530612245,9.999999999999999e-05,0.3684650431601212,1781665496.9719746,,,,,,
14000.0,13,5.8215619,0.3635294117647059,2.2228235294117646,0.0001,0.3642334076487738,1781665496.9719746,,,,,,
